Region	Start	End	Property Type	Bedrooms	Median Asking Rent	Median Asking Rent MoM	Median Asking Rent YoY	size
Detroit, MI	May-23	Jul-23	Multi-Family (25+ Units)	All	$1,395 	0.70%	-5.10%	1
Detroit, MI	Jun-23	Aug-23	Multi-Family (25+ Units)	All	$1,389 	-0.40%	-2.90%	1
Detroit, MI	Jul-23	Sep-23	Multi-Family (25+ Units)	All	$1,365 	-1.70%	-2.30%	1
Detroit, MI	Aug-23	Oct-23	Multi-Family (25+ Units)	All	$1,339 	-1.90%	-1.30%	1
Detroit, MI	Sep-23	Nov-23	Multi-Family (25+ Units)	All	$1,325 	-1.00%	-2.60%	1
Detroit, MI	Oct-23	Dec-23	Multi-Family (25+ Units)	All	$1,315 	-0.80%	-3.00%	1
Detroit, MI	Nov-23	Jan-24	Multi-Family (25+ Units)	All	$1,335 	1.50%	-2.10%	1
Detroit, MI	Dec-23	Feb-24	Multi-Family (25+ Units)	All	$1,345 	0.70%	-0.30%	1
Detroit, MI	Jan-24	Mar-24	Multi-Family (25+ Units)	All	$1,382 	2.80%	1.20%	1
Detroit, MI	Feb-24	Apr-24	Multi-Family (25+ Units)	All	$1,440 	4.20%	4.90%	1
Detroit, MI	Mar-24	May-24	Multi-Family (25+ Units)	All	$1,440 	0.00%	3.80%	1
Detroit, MI	Apr-24	Jun-24	Multi-Family (25+ Units)	All	$1,441 	0.00%	4.00%	1
Detroit, MI	May-24	Jul-24	Multi-Family (25+ Units)	All	$1,400 	-2.80%	0.40%	1
Detroit, MI	Jun-24	Aug-24	Multi-Family (25+ Units)	All	$1,414 	1.00%	1.80%	1
Detroit, MI	Jul-24	Sep-24	Multi-Family (25+ Units)	All	$1,420 	0.40%	4.00%	1
Detroit, MI	Aug-24	Oct-24	Multi-Family (25+ Units)	All	$1,440 	1.40%	7.50%	1
Detroit, MI	Sep-24	Nov-24	Multi-Family (25+ Units)	All	$1,428 	-0.90%	7.70%	1
Detroit, MI	Oct-24	Dec-24	Multi-Family (25+ Units)	All	$1,430 	0.20%	8.70%	1
Detroit, MI	Nov-24	Jan-25	Multi-Family (25+ Units)	All	$1,385 	-3.10%	3.70%	1
Detroit, MI	Dec-24	Feb-25	Multi-Family (25+ Units)	All	$1,400 	1.10%	4.10%	1
Detroit, MI	Jan-25	Mar-25	Multi-Family (25+ Units)	All	$1,405 	0.40%	1.70%	1
Detroit, MI	Feb-25	Apr-25	Multi-Family (25+ Units)	All	$1,422 	1.20%	-1.30%	1
Detroit, MI	Mar-25	May-25	Multi-Family (25+ Units)	All	$1,417 	-0.40%	-1.60%	1
Detroit, MI	Apr-25	Jun-25	Multi-Family (25+ Units)	All	$1,420 	0.20%	-1.40%	1
Detroit, MI	May-25	Jul-25	Multi-Family (25+ Units)	All	$1,425 	0.40%	1.80%	1
Detroit, MI	Jun-25	Aug-25	Multi-Family (25+ Units)	All	$1,445 	1.40%	2.20%	1
Houston, TX	Mar-19	May-19	Multi-Family (25+ Units)	All	$1,379 			1
Houston, TX	Apr-19	Jun-19	Multi-Family (25+ Units)	All	$1,357 	-1.60%		1
Houston, TX	May-19	Jul-19	Multi-Family (25+ Units)	All	$1,337 	-1.50%		1
Houston, TX	Jun-19	Aug-19	Multi-Family (25+ Units)	All	$1,293 	-3.30%		1
Houston, TX	Jul-19	Sep-19	Multi-Family (25+ Units)	All	$1,275 	-1.40%		1
Houston, TX	Aug-19	Oct-19	Multi-Family (25+ Units)	All	$1,264 	-0.90%		1
Houston, TX	Sep-19	Nov-19	Multi-Family (25+ Units)	All	$1,250 	-1.10%		1
Houston, TX	Oct-19	Dec-19	Multi-Family (25+ Units)	All	$1,238 	-1.00%		1
Houston, TX	Nov-19	Jan-20	Multi-Family (25+ Units)	All	$1,235 	-0.20%		1
Houston, TX	Dec-19	Feb-20	Multi-Family (25+ Units)	All	$1,250 	1.20%		1
Houston, TX	Jan-20	Mar-20	Multi-Family (25+ Units)	All	$1,268 	1.40%		1
Houston, TX	Feb-20	Apr-20	Multi-Family (25+ Units)	All	$1,280 	0.90%		1
Houston, TX	Mar-20	May-20	Multi-Family (25+ Units)	All	$1,278 	-0.20%	-7.30%	1
Houston, TX	Apr-20	Jun-20	Multi-Family (25+ Units)	All	$1,264 	-1.10%	-6.90%	1
Houston, TX	May-20	Jul-20	Multi-Family (25+ Units)	All	$1,252 	-0.90%	-6.40%	1
Houston, TX	Jun-20	Aug-20	Multi-Family (25+ Units)	All	$1,258 	0.50%	-2.70%	1
Houston, TX	Jul-20	Sep-20	Multi-Family (25+ Units)	All	$1,240 	-1.40%	-2.70%	1
Houston, TX	Aug-20	Oct-20	Multi-Family (25+ Units)	All	$1,218 	-1.80%	-3.60%	1
Houston, TX	Sep-20	Nov-20	Multi-Family (25+ Units)	All	$1,192 	-2.10%	-4.60%	1
Houston, TX	Oct-20	Dec-20	Multi-Family (25+ Units)	All	$1,184 	-0.70%	-4.40%	1
Houston, TX	Nov-20	Jan-21	Multi-Family (25+ Units)	All	$1,204 	1.70%	-2.50%	1
Houston, TX	Dec-20	Feb-21	Multi-Family (25+ Units)	All	$1,217 	1.10%	-2.60%	1
Houston, TX	Jan-21	Mar-21	Multi-Family (25+ Units)	All	$1,255 	3.10%	-1.00%	1
Houston, TX	Feb-21	Apr-21	Multi-Family (25+ Units)	All	$1,290 	2.80%	0.80%	1
Houston, TX	Mar-21	May-21	Multi-Family (25+ Units)	All	$1,303 	1.00%	2.00%	1
Houston, TX	Apr-21	Jun-21	Multi-Family (25+ Units)	All	$1,331 	2.10%	5.30%	1
Houston, TX	May-21	Jul-21	Multi-Family (25+ Units)	All	$1,344 	1.00%	7.30%	1
Houston, TX	Jun-21	Aug-21	Multi-Family (25+ Units)	All	$1,364 	1.50%	8.40%	1
Houston, TX	Jul-21	Sep-21	Multi-Family (25+ Units)	All	$1,371 	0.60%	10.60%	1
Houston, TX	Aug-21	Oct-21	Multi-Family (25+ Units)	All	$1,375 	0.30%	12.90%	1
Houston, TX	Sep-21	Nov-21	Multi-Family (25+ Units)	All	$1,384 	0.70%	16.10%	1
Houston, TX	Oct-21	Dec-21	Multi-Family (25+ Units)	All	$1,390 	0.40%	17.40%	1
Houston, TX	Nov-21	Jan-22	Multi-Family (25+ Units)	All	$1,404 	1.00%	16.60%	1
Houston, TX	Dec-21	Feb-22	Multi-Family (25+ Units)	All	$1,410 	0.40%	15.90%	1
Houston, TX	Jan-22	Mar-22	Multi-Family (25+ Units)	All	$1,425 	1.10%	13.50%	1
Houston, TX	Feb-22	Apr-22	Multi-Family (25+ Units)	All	$1,445 	1.40%	12.00%	1
Houston, TX	Mar-22	May-22	Multi-Family (25+ Units)	All	$1,465 	1.40%	12.40%	1
Houston, TX	Apr-22	Jun-22	Multi-Family (25+ Units)	All	$1,479 	1.00%	11.10%	1
Houston, TX	May-22	Jul-22	Multi-Family (25+ Units)	All	$1,490 	0.70%	10.90%	1
Houston, TX	Jun-22	Aug-22	Multi-Family (25+ Units)	All	$1,481 	-0.60%	8.60%	1
Houston, TX	Jul-22	Sep-22	Multi-Family (25+ Units)	All	$1,465 	-1.10%	6.90%	1
Houston, TX	Aug-22	Oct-22	Multi-Family (25+ Units)	All	$1,417 	-3.30%	3.10%	1
Houston, TX	Sep-22	Nov-22	Multi-Family (25+ Units)	All	$1,409 	-0.60%	1.80%	1
Houston, TX	Oct-22	Dec-22	Multi-Family (25+ Units)	All	$1,404 	-0.40%	1.00%	1
Houston, TX	Nov-22	Jan-23	Multi-Family (25+ Units)	All	$1,413 	0.60%	0.60%	1
Houston, TX	Dec-22	Feb-23	Multi-Family (25+ Units)	All	$1,399 	-1.00%	-0.80%	1
Houston, TX	Jan-23	Mar-23	Multi-Family (25+ Units)	All	$1,403 	0.30%	-1.50%	1
Houston, TX	Feb-23	Apr-23	Multi-Family (25+ Units)	All	$1,420 	1.20%	-1.70%	1
Houston, TX	Mar-23	May-23	Multi-Family (25+ Units)	All	$1,425 	0.40%	-2.70%	1
Houston, TX	Apr-23	Jun-23	Multi-Family (25+ Units)	All	$1,425 	0.00%	-3.70%	1
Houston, TX	May-23	Jul-23	Multi-Family (25+ Units)	All	$1,418 	-0.50%	-4.80%	1
Houston, TX	Jun-23	Aug-23	Multi-Family (25+ Units)	All	$1,420 	0.10%	-4.10%	1
Houston, TX	Jul-23	Sep-23	Multi-Family (25+ Units)	All	$1,405 	-1.10%	-4.10%	1
Houston, TX	Aug-23	Oct-23	Multi-Family (25+ Units)	All	$1,390 	-1.10%	-1.90%	1
Houston, TX	Sep-23	Nov-23	Multi-Family (25+ Units)	All	$1,370 	-1.40%	-2.80%	1
Houston, TX	Oct-23	Dec-23	Multi-Family (25+ Units)	All	$1,381 	0.80%	-1.60%	1
Houston, TX	Nov-23	Jan-24	Multi-Family (25+ Units)	All	$1,397 	1.20%	-1.10%	1
Houston, TX	Dec-23	Feb-24	Multi-Family (25+ Units)	All	$1,400 	0.20%	0.10%	1
Houston, TX	Jan-24	Mar-24	Multi-Family (25+ Units)	All	$1,410 	0.70%	0.50%	1
Houston, TX	Feb-24	Apr-24	Multi-Family (25+ Units)	All	$1,425 	1.10%	0.40%	1
Houston, TX	Mar-24	May-24	Multi-Family (25+ Units)	All	$1,445 	1.40%	1.40%	1
Houston, TX	Apr-24	Jun-24	Multi-Family (25+ Units)	All	$1,440 	-0.30%	1.10%	1
Houston, TX	May-24	Jul-24	Multi-Family (25+ Units)	All	$1,440 	0.00%	1.60%	1
Houston, TX	Jun-24	Aug-24	Multi-Family (25+ Units)	All	$1,430 	-0.70%	0.70%	1
Houston, TX	Jul-24	Sep-24	Multi-Family (25+ Units)	All	$1,428 	-0.10%	1.60%	1
Houston, TX	Aug-24	Oct-24	Multi-Family (25+ Units)	All	$1,417 	-0.80%	1.90%	1
Houston, TX	Sep-24	Nov-24	Multi-Family (25+ Units)	All	$1,420 	0.20%	3.60%	1
Houston, TX	Oct-24	Dec-24	Multi-Family (25+ Units)	All	$1,408 	-0.80%	2.00%	1
Houston, TX	Nov-24	Jan-25	Multi-Family (25+ Units)	All	$1,423 	1.10%	1.90%	1
Houston, TX	Dec-24	Feb-25	Multi-Family (25+ Units)	All	$1,425 	0.10%	1.80%	1
Houston, TX	Jan-25	Mar-25	Multi-Family (25+ Units)	All	$1,421 	-0.30%	0.80%	1
Houston, TX	Feb-25	Apr-25	Multi-Family (25+ Units)	All	$1,404 	-1.20%	-1.50%	1
Houston, TX	Mar-25	May-25	Multi-Family (25+ Units)	All	$1,419 	1.10%	-1.80%	1
Houston, TX	Apr-25	Jun-25	Multi-Family (25+ Units)	All	$1,435 	1.10%	-0.30%	1
Houston, TX	May-25	Jul-25	Multi-Family (25+ Units)	All	$1,447 	0.80%	0.50%	1
Houston, TX	Jun-25	Aug-25	Multi-Family (25+ Units)	All	$1,442 	-0.30%	0.80%	1
Indianapolis, IN	Mar-19	May-19	Multi-Family (25+ Units)	All	$1,054 			1
Indianapolis, IN	Apr-19	Jun-19	Multi-Family (25+ Units)	All	$1,018 	-3.40%		1
Indianapolis, IN	May-19	Jul-19	Multi-Family (25+ Units)	All	$986 	-3.10%		1
Indianapolis, IN	Jun-19	Aug-19	Multi-Family (25+ Units)	All	$945 	-4.20%		1
Indianapolis, IN	Jul-19	Sep-19	Multi-Family (25+ Units)	All	$930 	-1.60%		1
Indianapolis, IN	Aug-19	Oct-19	Multi-Family (25+ Units)	All	$924 	-0.60%		1
Indianapolis, IN	Sep-19	Nov-19	Multi-Family (25+ Units)	All	$910 	-1.50%		1
Indianapolis, IN	Oct-19	Dec-19	Multi-Family (25+ Units)	All	$909 	-0.10%		1
Indianapolis, IN	Nov-19	Jan-20	Multi-Family (25+ Units)	All	$910 	0.10%		1
Indianapolis, IN	Dec-19	Feb-20	Multi-Family (25+ Units)	All	$919 	1.00%		1
Indianapolis, IN	Jan-20	Mar-20	Multi-Family (25+ Units)	All	$929 	1.10%		1
Indianapolis, IN	Feb-20	Apr-20	Multi-Family (25+ Units)	All	$939 	1.10%		1
Indianapolis, IN	Mar-20	May-20	Multi-Family (25+ Units)	All	$1,005 	7.00%	-4.60%	1
Indianapolis, IN	Apr-20	Jun-20	Multi-Family (25+ Units)	All	$1,039 	3.40%	2.10%	1
Indianapolis, IN	May-20	Jul-20	Multi-Family (25+ Units)	All	$1,062 	2.20%	7.70%	1
Indianapolis, IN	Jun-20	Aug-20	Multi-Family (25+ Units)	All	$1,064 	0.20%	12.60%	1
Indianapolis, IN	Jul-20	Sep-20	Multi-Family (25+ Units)	All	$1,059 	-0.50%	13.90%	1
Indianapolis, IN	Aug-20	Oct-20	Multi-Family (25+ Units)	All	$1,049 	-0.90%	13.50%	1
Indianapolis, IN	Sep-20	Nov-20	Multi-Family (25+ Units)	All	$1,029 	-1.90%	13.10%	1
Indianapolis, IN	Oct-20	Dec-20	Multi-Family (25+ Units)	All	$1,019 	-1.00%	12.10%	1
Indianapolis, IN	Nov-20	Jan-21	Multi-Family (25+ Units)	All	$1,025 	0.60%	12.60%	1
Indianapolis, IN	Dec-20	Feb-21	Multi-Family (25+ Units)	All	$1,040 	1.50%	13.20%	1
Indianapolis, IN	Jan-21	Mar-21	Multi-Family (25+ Units)	All	$1,075 	3.40%	15.70%	1
Indianapolis, IN	Feb-21	Apr-21	Multi-Family (25+ Units)	All	$1,115 	3.70%	18.70%	1
Indianapolis, IN	Mar-21	May-21	Multi-Family (25+ Units)	All	$1,129 	1.30%	12.30%	1
Indianapolis, IN	Apr-21	Jun-21	Multi-Family (25+ Units)	All	$1,151 	1.90%	10.80%	1
Indianapolis, IN	May-21	Jul-21	Multi-Family (25+ Units)	All	$1,170 	1.70%	10.20%	1
Indianapolis, IN	Jun-21	Aug-21	Multi-Family (25+ Units)	All	$1,199 	2.50%	12.70%	1
Indianapolis, IN	Jul-21	Sep-21	Multi-Family (25+ Units)	All	$1,203 	0.30%	13.60%	1
Indianapolis, IN	Aug-21	Oct-21	Multi-Family (25+ Units)	All	$1,210 	0.60%	15.30%	1
Indianapolis, IN	Sep-21	Nov-21	Multi-Family (25+ Units)	All	$1,223 	1.10%	18.90%	1
Indianapolis, IN	Oct-21	Dec-21	Multi-Family (25+ Units)	All	$1,225 	0.20%	20.20%	1
Indianapolis, IN	Nov-21	Jan-22	Multi-Family (25+ Units)	All	$1,235 	0.80%	20.50%	1
Indianapolis, IN	Dec-21	Feb-22	Multi-Family (25+ Units)	All	$1,240 	0.40%	19.20%	1
Indianapolis, IN	Jan-22	Mar-22	Multi-Family (25+ Units)	All	$1,265 	2.00%	17.70%	1
Indianapolis, IN	Feb-22	Apr-22	Multi-Family (25+ Units)	All	$1,315 	4.00%	17.90%	1
Indianapolis, IN	Mar-22	May-22	Multi-Family (25+ Units)	All	$1,350 	2.70%	19.60%	1
Indianapolis, IN	Apr-22	Jun-22	Multi-Family (25+ Units)	All	$1,366 	1.20%	18.70%	1
Indianapolis, IN	May-22	Jul-22	Multi-Family (25+ Units)	All	$1,365 	-0.10%	16.70%	1
Indianapolis, IN	Jun-22	Aug-22	Multi-Family (25+ Units)	All	$1,307 	-4.30%	9.00%	1
Indianapolis, IN	Jul-22	Sep-22	Multi-Family (25+ Units)	All	$1,287 	-1.50%	6.90%	1
Indianapolis, IN	Aug-22	Oct-22	Multi-Family (25+ Units)	All	$1,274 	-1.00%	5.30%	1
Indianapolis, IN	Sep-22	Nov-22	Multi-Family (25+ Units)	All	$1,290 	1.30%	5.50%	1
Indianapolis, IN	Oct-22	Dec-22	Multi-Family (25+ Units)	All	$1,292 	0.20%	5.50%	1
Indianapolis, IN	Nov-22	Jan-23	Multi-Family (25+ Units)	All	$1,298 	0.50%	5.10%	1
Indianapolis, IN	Dec-22	Feb-23	Multi-Family (25+ Units)	All	$1,299 	0.10%	4.80%	1
Indianapolis, IN	Jan-23	Mar-23	Multi-Family (25+ Units)	All	$1,315 	1.20%	4.00%	1
Indianapolis, IN	Feb-23	Apr-23	Multi-Family (25+ Units)	All	$1,329 	1.10%	1.10%	1
Indianapolis, IN	Mar-23	May-23	Multi-Family (25+ Units)	All	$1,349 	1.50%	-0.10%	1
Indianapolis, IN	Apr-23	Jun-23	Multi-Family (25+ Units)	All	$1,349 	0.00%	-1.20%	1
Indianapolis, IN	May-23	Jul-23	Multi-Family (25+ Units)	All	$1,345 	-0.30%	-1.50%	1
Indianapolis, IN	Jun-23	Aug-23	Multi-Family (25+ Units)	All	$1,335 	-0.70%	2.20%	1
Indianapolis, IN	Jul-23	Sep-23	Multi-Family (25+ Units)	All	$1,345 	0.70%	4.50%	1
Indianapolis, IN	Aug-23	Oct-23	Multi-Family (25+ Units)	All	$1,343 	-0.10%	5.40%	1
Indianapolis, IN	Sep-23	Nov-23	Multi-Family (25+ Units)	All	$1,319 	-1.80%	2.20%	1
Indianapolis, IN	Oct-23	Dec-23	Multi-Family (25+ Units)	All	$1,300 	-1.40%	0.60%	1
Indianapolis, IN	Nov-23	Jan-24	Multi-Family (25+ Units)	All	$1,315 	1.20%	1.30%	1
Indianapolis, IN	Dec-23	Feb-24	Multi-Family (25+ Units)	All	$1,339 	1.80%	3.10%	1
Indianapolis, IN	Jan-24	Mar-24	Multi-Family (25+ Units)	All	$1,370 	2.30%	4.20%	1
Indianapolis, IN	Feb-24	Apr-24	Multi-Family (25+ Units)	All	$1,389 	1.40%	4.50%	1
Indianapolis, IN	Mar-24	May-24	Multi-Family (25+ Units)	All	$1,409 	1.40%	4.40%	1
Indianapolis, IN	Apr-24	Jun-24	Multi-Family (25+ Units)	All	$1,400 	-0.60%	3.80%	1
Indianapolis, IN	May-24	Jul-24	Multi-Family (25+ Units)	All	$1,389 	-0.80%	3.30%	1
Indianapolis, IN	Jun-24	Aug-24	Multi-Family (25+ Units)	All	$1,371 	-1.30%	2.70%	1
Indianapolis, IN	Jul-24	Sep-24	Multi-Family (25+ Units)	All	$1,377 	0.40%	2.40%	1
Indianapolis, IN	Aug-24	Oct-24	Multi-Family (25+ Units)	All	$1,390 	0.90%	3.50%	1
Indianapolis, IN	Sep-24	Nov-24	Multi-Family (25+ Units)	All	$1,380 	-0.70%	4.60%	1
Indianapolis, IN	Oct-24	Dec-24	Multi-Family (25+ Units)	All	$1,377 	-0.20%	5.90%	1
Indianapolis, IN	Nov-24	Jan-25	Multi-Family (25+ Units)	All	$1,400 	1.70%	6.50%	1
Indianapolis, IN	Dec-24	Feb-25	Multi-Family (25+ Units)	All	$1,449 	3.50%	8.20%	1
Indianapolis, IN	Jan-25	Mar-25	Multi-Family (25+ Units)	All	$1,450 	0.10%	5.80%	1
Indianapolis, IN	Feb-25	Apr-25	Multi-Family (25+ Units)	All	$1,441 	-0.60%	3.70%	1
Indianapolis, IN	Mar-25	May-25	Multi-Family (25+ Units)	All	$1,443 	0.10%	2.40%	1
Indianapolis, IN	Apr-25	Jun-25	Multi-Family (25+ Units)	All	$1,449 	0.40%	3.50%	1
Indianapolis, IN	May-25	Jul-25	Multi-Family (25+ Units)	All	$1,449 	0.00%	4.30%	1
Indianapolis, IN	Jun-25	Aug-25	Multi-Family (25+ Units)	All	$1,449 	0.00%	5.70%	1
Jacksonville, FL	Mar-19	May-19	Multi-Family (25+ Units)	All	$1,353 			1
Jacksonville, FL	Apr-19	Jun-19	Multi-Family (25+ Units)	All	$1,313 	-3.00%		1
Jacksonville, FL	May-19	Jul-19	Multi-Family (25+ Units)	All	$1,300 	-1.00%		1
Jacksonville, FL	Jun-19	Aug-19	Multi-Family (25+ Units)	All	$1,255 	-3.50%		1
Jacksonville, FL	Jul-19	Sep-19	Multi-Family (25+ Units)	All	$1,239 	-1.30%		1
Jacksonville, FL	Aug-19	Oct-19	Multi-Family (25+ Units)	All	$1,192 	-3.80%		1
Jacksonville, FL	Sep-19	Nov-19	Multi-Family (25+ Units)	All	$1,202 	0.80%		1
Jacksonville, FL	Oct-19	Dec-19	Multi-Family (25+ Units)	All	$1,218 	1.30%		1
Jacksonville, FL	Nov-19	Jan-20	Multi-Family (25+ Units)	All	$1,250 	2.60%		1
Jacksonville, FL	Dec-19	Feb-20	Multi-Family (25+ Units)	All	$1,234 	-1.30%		1
Jacksonville, FL	Jan-20	Mar-20	Multi-Family (25+ Units)	All	$1,225 	-0.70%		1
Jacksonville, FL	Feb-20	Apr-20	Multi-Family (25+ Units)	All	$1,215 	-0.80%		1
Jacksonville, FL	Mar-20	May-20	Multi-Family (25+ Units)	All	$1,225 	0.80%	-9.50%	1
Jacksonville, FL	Apr-20	Jun-20	Multi-Family (25+ Units)	All	$1,251 	2.10%	-4.70%	1
Jacksonville, FL	May-20	Jul-20	Multi-Family (25+ Units)	All	$1,260 	0.70%	-3.10%	1
Jacksonville, FL	Jun-20	Aug-20	Multi-Family (25+ Units)	All	$1,278 	1.50%	1.80%	1
Jacksonville, FL	Jul-20	Sep-20	Multi-Family (25+ Units)	All	$1,274 	-0.30%	2.80%	1
Jacksonville, FL	Aug-20	Oct-20	Multi-Family (25+ Units)	All	$1,295 	1.60%	8.60%	1
Jacksonville, FL	Sep-20	Nov-20	Multi-Family (25+ Units)	All	$1,295 	0.00%	7.70%	1
Jacksonville, FL	Oct-20	Dec-20	Multi-Family (25+ Units)	All	$1,277 	-1.40%	4.80%	1
Jacksonville, FL	Nov-20	Jan-21	Multi-Family (25+ Units)	All	$1,263 	-1.10%	1.00%	1
Jacksonville, FL	Dec-20	Feb-21	Multi-Family (25+ Units)	All	$1,275 	1.00%	3.30%	1
Jacksonville, FL	Jan-21	Mar-21	Multi-Family (25+ Units)	All	$1,378 	8.10%	12.50%	1
Jacksonville, FL	Feb-21	Apr-21	Multi-Family (25+ Units)	All	$1,435 	4.10%	18.10%	1
Jacksonville, FL	Mar-21	May-21	Multi-Family (25+ Units)	All	$1,462 	1.90%	19.30%	1
Jacksonville, FL	Apr-21	Jun-21	Multi-Family (25+ Units)	All	$1,453 	-0.60%	16.10%	1
Jacksonville, FL	May-21	Jul-21	Multi-Family (25+ Units)	All	$1,493 	2.80%	18.50%	1
Jacksonville, FL	Jun-21	Aug-21	Multi-Family (25+ Units)	All	$1,545 	3.50%	20.90%	1
Jacksonville, FL	Jul-21	Sep-21	Multi-Family (25+ Units)	All	$1,565 	1.30%	22.80%	1
Jacksonville, FL	Aug-21	Oct-21	Multi-Family (25+ Units)	All	$1,589 	1.50%	22.70%	1
Jacksonville, FL	Sep-21	Nov-21	Multi-Family (25+ Units)	All	$1,595 	0.40%	23.20%	1
Jacksonville, FL	Oct-21	Dec-21	Multi-Family (25+ Units)	All	$1,590 	-0.30%	24.50%	1
Jacksonville, FL	Nov-21	Jan-22	Multi-Family (25+ Units)	All	$1,595 	0.30%	26.30%	1
Jacksonville, FL	Dec-21	Feb-22	Multi-Family (25+ Units)	All	$1,598 	0.20%	25.30%	1
Jacksonville, FL	Jan-22	Mar-22	Multi-Family (25+ Units)	All	$1,625 	1.70%	17.90%	1
Jacksonville, FL	Feb-22	Apr-22	Multi-Family (25+ Units)	All	$1,645 	1.20%	14.60%	1
Jacksonville, FL	Mar-22	May-22	Multi-Family (25+ Units)	All	$1,684 	2.40%	15.20%	1
Jacksonville, FL	Apr-22	Jun-22	Multi-Family (25+ Units)	All	$1,705 	1.20%	17.30%	1
Jacksonville, FL	May-22	Jul-22	Multi-Family (25+ Units)	All	$1,710 	0.30%	14.50%	1
Jacksonville, FL	Jun-22	Aug-22	Multi-Family (25+ Units)	All	$1,690 	-1.20%	9.40%	1
Jacksonville, FL	Jul-22	Sep-22	Multi-Family (25+ Units)	All	$1,640 	-3.00%	4.80%	1
Jacksonville, FL	Aug-22	Oct-22	Multi-Family (25+ Units)	All	$1,606 	-2.10%	1.00%	1
Jacksonville, FL	Sep-22	Nov-22	Multi-Family (25+ Units)	All	$1,557 	-3.00%	-2.40%	1
Jacksonville, FL	Oct-22	Dec-22	Multi-Family (25+ Units)	All	$1,590 	2.10%	0.00%	1
Jacksonville, FL	Nov-22	Jan-23	Multi-Family (25+ Units)	All	$1,600 	0.60%	0.30%	1
Jacksonville, FL	Dec-22	Feb-23	Multi-Family (25+ Units)	All	$1,625 	1.60%	1.70%	1
Jacksonville, FL	Jan-23	Mar-23	Multi-Family (25+ Units)	All	$1,617 	-0.50%	-0.50%	1
Jacksonville, FL	Feb-23	Apr-23	Multi-Family (25+ Units)	All	$1,618 	0.10%	-1.60%	1
Jacksonville, FL	Mar-23	May-23	Multi-Family (25+ Units)	All	$1,627 	0.60%	-3.40%	1
Jacksonville, FL	Apr-23	Jun-23	Multi-Family (25+ Units)	All	$1,620 	-0.40%	-5.00%	1
Jacksonville, FL	May-23	Jul-23	Multi-Family (25+ Units)	All	$1,621 	0.10%	-5.20%	1
Jacksonville, FL	Jun-23	Aug-23	Multi-Family (25+ Units)	All	$1,615 	-0.40%	-4.40%	1
Jacksonville, FL	Jul-23	Sep-23	Multi-Family (25+ Units)	All	$1,640 	1.50%	0.00%	1
Jacksonville, FL	Aug-23	Oct-23	Multi-Family (25+ Units)	All	$1,625 	-0.90%	1.20%	1
Jacksonville, FL	Sep-23	Nov-23	Multi-Family (25+ Units)	All	$1,615 	-0.60%	3.70%	1
Jacksonville, FL	Oct-23	Dec-23	Multi-Family (25+ Units)	All	$1,575 	-2.50%	-0.90%	1
Jacksonville, FL	Nov-23	Jan-24	Multi-Family (25+ Units)	All	$1,589 	0.90%	-0.70%	1
Jacksonville, FL	Dec-23	Feb-24	Multi-Family (25+ Units)	All	$1,599 	0.60%	-1.60%	1
Jacksonville, FL	Jan-24	Mar-24	Multi-Family (25+ Units)	All	$1,619 	1.30%	0.10%	1
Jacksonville, FL	Feb-24	Apr-24	Multi-Family (25+ Units)	All	$1,617 	-0.10%	-0.10%	1
Jacksonville, FL	Mar-24	May-24	Multi-Family (25+ Units)	All	$1,617 	0.00%	-0.60%	1
Jacksonville, FL	Apr-24	Jun-24	Multi-Family (25+ Units)	All	$1,600 	-1.10%	-1.20%	1
Jacksonville, FL	May-24	Jul-24	Multi-Family (25+ Units)	All	$1,589 	-0.70%	-2.00%	1
Jacksonville, FL	Jun-24	Aug-24	Multi-Family (25+ Units)	All	$1,558 	-2.00%	-3.50%	1
Jacksonville, FL	Jul-24	Sep-24	Multi-Family (25+ Units)	All	$1,540 	-1.20%	-6.10%	1
Jacksonville, FL	Aug-24	Oct-24	Multi-Family (25+ Units)	All	$1,520 	-1.30%	-6.50%	1
Jacksonville, FL	Sep-24	Nov-24	Multi-Family (25+ Units)	All	$1,528 	0.50%	-5.40%	1
Jacksonville, FL	Oct-24	Dec-24	Multi-Family (25+ Units)	All	$1,531 	0.20%	-2.80%	1
Jacksonville, FL	Nov-24	Jan-25	Multi-Family (25+ Units)	All	$1,559 	1.80%	-1.90%	1
Jacksonville, FL	Dec-24	Feb-25	Multi-Family (25+ Units)	All	$1,559 	0.00%	-2.50%	1
Jacksonville, FL	Jan-25	Mar-25	Multi-Family (25+ Units)	All	$1,564 	0.30%	-3.40%	1
Jacksonville, FL	Feb-25	Apr-25	Multi-Family (25+ Units)	All	$1,543 	-1.30%	-4.60%	1
Jacksonville, FL	Mar-25	May-25	Multi-Family (25+ Units)	All	$1,546 	0.20%	-4.40%	1
Jacksonville, FL	Apr-25	Jun-25	Multi-Family (25+ Units)	All	$1,535 	-0.70%	-4.10%	1
Jacksonville, FL	May-25	Jul-25	Multi-Family (25+ Units)	All	$1,530 	-0.30%	-3.70%	1
Jacksonville, FL	Jun-25	Aug-25	Multi-Family (25+ Units)	All	$1,529 	-0.10%	-1.90%	1
Las Vegas, NV	Mar-19	May-19	Multi-Family (25+ Units)	All	$1,225 			1
Las Vegas, NV	Apr-19	Jun-19	Multi-Family (25+ Units)	All	$1,235 	0.80%		1
